lct,sic,seq,naics,dlc,cogs,conm,lt,dp,gsector,oibdp,ebit,dltt,at,emp,loc,gvkey,oancf,ppent,act,gind,ceq,sale,ib,che,invt,xsga,isin,rect,gsubind,revt,ebitda,datadate,fyear,ggroup,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
580.0,2990.0,1897.0,324191.0,60.0,2222.0,FUCHS SE,710.0,97.0,15.0,533.0,436.0,52.0,2610.0,6.781,DEU,103200,390.0,813.0,1285.0,151010.0,1897.0,3525.0,302.0,153.0,567.0,697.0,DE000A3E5D64,551.0,15101010.0,3525.0,533.0,2024-12-31,2024.0,1510.0,16.704980842911876,15.919873484449129,12.368794326241135,15.120567375886527,8.567375886524822,2.2155172413793105,1.2379310344827585,0.2637931034482759,0.027411702688455455,0.05904059040590406,72.68199233716474,27.203065134099617,1.3505747126436782,519.8348326205574,6.397459165154265,57.05390070921986,-0.45184975995481436,7.71770532397853,8.115433673469386,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Mid
521.392,100.0,1601.531,111.0,56.737,516.311,KWS SAAT SE & CO KGAA,1074.69,102.887,30.0,356.161,253.274,426.798,2676.221,4.791,DEU,102926,226.537,623.634,1550.007,302020.0,1601.531,1676.628,139.98,407.009,420.328,464.725,DE0007074007,603.264,30202010.0,1676.628,356.161,2025-06-30,2025.0,3020.0,9.463867146995709,8.740386542627023,15.106153541513084,21.242696650658345,8.34890029273041,2.972824669346672,2.166659634209961,0.7806199558105993,0.26649374879412263,0.3019204748456321,59.843002502409185,40.15699749759082,0.6264908615544083,349.95366311834687,2.779260821133036,131.32988355198648,-0.08878994206604762,-9.467631769365848,3.7462104807275853,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,True,4,Mid
260.817,3827.0,960.337,333310.0,17.217,669.586,JENOPTIK AG,772.813,73.053,45.0,220.135,147.082,463.899,1740.009,4.071,DEU,218000,167.12,419.917,588.719,452030.0,960.337,1115.787,91.0,85.573,267.009,165.76,DE000A2NB601,232.805,45203010.0,1115.787,220.135,2024-12-31,2024.0,4520.0,8.452944783618936,9.475840251911569,13.181906582528743,19.729123927774744,8.15567845834375,2.257210994682095,1.233470210914166,0.3280959446661835,0.4830585513210467,0.500986632817438,55.19149613593952,44.414310500692814,0.6412535797228636,274.0817980840089,4.792796546465927,76.15595539291996,4.665737377679058,4.3851745023132604,-11.806759098786824,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Mid
1595.496,7510.0,2128.658,5321.0,327.736,886.577,SIXT SE,4421.998,222.954,20.0,737.268,514.314,2757.739,6550.656,7.864,DEU,103533,1079.847,1124.128,5240.0,203040.0,2128.658,4002.172,243.913,163.577,175.534,983.991,DE0007231326,693.228,20304040.0,4002.172,737.268,2024-12-31,2024.0,2030.0,7.851335805146843,11.458533968350013,12.85087197651675,18.421697018518945,6.094515677986853,3.2842451500975245,3.1742266981553073,0.10252423070944709,1.2955293898785056,1.4494930608862486,32.495340924634114,67.50465907536588,0.6109574369345605,508.92319430315365,5.773240550006636,63.222725060292255,10.54169455178815,1.5664001758860957,-9.97137950772753,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11,True,4,Mid
730.556,4813.0,6093.97,517.0,20.218,2561.735,1&1 AG,2036.103,281.453,50.0,872.141,590.688,392.741,8130.073,3.281,DEU,326410,311.418,801.586,1844.042,501020.0,6093.97,4064.254,212.764,8.3,119.568,545.326,DE0005545503,1382.958,50102010.0,4064.254,872.141,2024-12-31,2024.0,5010.0,7.265469818044684,3.491385746894061,14.53373731070942,21.458821225248226,5.235007457703185,2.5241624187605054,2.360495293995258,0.011361209818275396,0.06444747840898461,0.06776518427232166,74.95590752998159,25.044092470018413,0.4999037524017312,1238.7241694605302,2.938812313895288,124.19983347497475,-0.7920275363029972,5.035550274110623,-1.1746987951807175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,True,4,Mid
646.347,2800.0,3005.005,325.0,28.917,1909.906,ALTANA AG,1430.794,179.544,15.0,468.383,288.839,420.534,4460.234,8.382,DEU,100004,438.997,1219.89,2117.433,151010.0,3005.005,3168.838,161.329,684.943,626.463,575.095,DE0007600801,559.556,15101050.0,3168.838,468.383,2024-12-31,2024.0,1510.0,6.475870996902852,5.368676591220314,9.114981579998723,14.780907070667542,5.091109106871351,3.276000352751695,2.3067640137573164,1.0597140545248915,0.13994452588265244,0.14956747160154477,67.37325889179805,32.07889989628347,0.7104645182293127,378.0527320448581,5.66312933826105,64.45199786167674,15.58711150586447,7.722761277389667,14.570803717878622,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Mid
592.104,3444.0,1918.972,332322.0,30.518,1597.617,DILLINGER HUTTENWERKE,1364.71,56.322,15.0,257.102,200.78,76.047,3283.682,,DEU,210340,80.317,546.86,1436.768,151040.0,1918.972,2287.461,175.0,427.034,629.266,306.257,,345.856,15104050.0,2287.461,257.102,2024-12-31,2024.0,1510.0,6.1144775894864365,9.119466047446236,8.777417407335033,11.239623320353877,7.650403657155248,2.426546687744045,1.363784064961561,0.721214516368746,0.0396290305434368,0.0555323371054919,58.43964184107963,41.56035815892039,0.6966146539159395,,6.613911570133234,55.186707008338075,-12.515756993504457,3.2837927820787094,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Mid
2207.551,3330.0,4554.9,331410.0,147.816,15509.246,AURUBIS AG,3290.333,201.565,15.0,679.112,477.547,235.406,7846.232,6.979,DEU,220303,537.473,1926.662,4740.018,151040.0,4554.9,17183.261,416.096,364.209,3545.794,633.348,DE0006766504,717.167,15104025.0,17183.261,679.112,2024-09-30,2024.0,1510.0,6.086322708785568,9.135129201519245,2.779140699777534,3.9521718258251446,2.4215194077538604,2.1471839155697876,0.5409723263471603,0.16498327784952646,0.05168192495993326,0.0841340095282004,58.0520688146871,41.93519895919468,2.1900016466502645,2462.137985384725,23.95991589127776,15.233776347807325,0.4361597415107221,8.080314274926636,-3.4716459197787097,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11,True,4,Mid
160.1,2836.0,530.7,325414.0,35.1,461.9,BIOTEST AG,903.3,40.5,35.0,127.3,86.8,635.9,1434.0,2.495,DEU,200759,60.9,485.3,809.5,352010.0,530.7,726.2,26.4,119.5,479.5,91.3,DE0005227235,206.8,35201010.0,726.2,127.3,2024-12-31,2024.0,3520.0,6.052998605299861,4.9745618993781795,11.952630129440925,17.52960616909942,3.635362159184797,5.056214865708932,2.061211742660837,0.7464084946908183,1.1982287544752213,1.2643678160919538,37.00836820083682,62.99163179916317,0.5064156206415621,291.062124248497,3.511605415860735,103.94106306802534,6.076541045866213,1.6372528173506318,2.844187963726297,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Mid
568.835,3845.0,2041.697,334510.0,27.071,910.785,CARL ZEISS MEDITEC AG,1336.721,66.712,35.0,254.122,187.41,526.757,3393.2,5.73,DEU,238442,247.319,263.889,1212.483,351010.0,2041.697,2066.127,178.726,20.285,536.556,558.131,DE0005313704,582.935,35101010.0,2066.127,254.122,2024-09-30,2024.0,3510.0,5.523105033596605,8.753796474207485,9.07059440198981,12.299437546675495,8.650291100208264,2.131519684970158,1.188265489992704,0.03566060456898749,0.2579995954345821,0.27125866374883245,60.17025226924437,39.3941117529176,0.6089022161971,360.58062827225126,3.5443522862754855,102.98073400134648,-1.1091274589575595,11.878833759105078,18.80572257930748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Mid
