gvkey,conm,cluster,cluster_name,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend
100004,ALTANA AG,4,Upper-Mid,6.475870996902852,5.368676591220314,9.114981579998725,39.72850615904001,8.187796283685062,3.276000352751695,0.1399445258826524,1.4842684121989815,-0.4294549207168278
100083,BEIERSDORF AG,4,Upper-Mid,10.42195065713627,10.761061946902654,13.766497461928934,61.6751269035533,8.060913705583756,1.7426948051948052,0.0,1.535221238938053,-0.5141279617984581
100373,HEIDELBERG MATERIALS AG,4,Upper-Mid,7.680347008313294,9.287812041116007,13.512468222187636,63.83767492536047,9.002023403562887,1.2676099025996392,0.3571686990572262,1.9845974589797613,0.29976659766120317
100431,HAPAG-LLOYD AG,4,Upper-Mid,7.509868489548474,11.54993270003583,13.209640117623668,26.59665756234368,11.503364413608343,1.539486177045518,0.2462839767984584,1.6276472126194694,2.5153795524104443
100736,K&S AG,4,Upper-Mid,-0.4661356711391458,-1.075286125911498,-1.1935068845637953,22.68758041115764,2.343215351345432,3.0222597914905607,0.1100075656359158,1.5056420327414968,-0.0731814294916662
101937,DMG MORI AG,4,Upper-Mid,9.317683459113244,12.006314886266532,10.603255679772433,51.98970384003828,6.0304099007731065,1.7026958942168635,0.0276751792704911,1.7923590157963738,0.00159940605292435
101942,HENKEL AG & CO KGAA,4,Upper-Mid,8.55757507017892,9.235229155162894,13.98128416566293,53.63198369313445,11.553784860557768,1.2136648696226209,0.1215718755751886,1.6228142830848518,-0.5473890250484145
102926,KWS SAAT SE & CO KGAA,4,Upper-Mid,9.463867146995709,8.740386542627023,15.106153541513084,69.20539320588705,7.063045589122931,2.972824669346672,0.2664937487941226,1.6710391494139043,-0.054216859833955224
103200,FUCHS SE,4,Upper-Mid,16.704980842911876,15.919873484449129,12.368794326241137,36.9645390070922,8.709219858156029,2.2155172413793105,0.0274117026884554,1.3758566157090142,-0.8044010982653266
103487,SAP SE,4,Upper-Mid,10.984592968349478,6.875000000000001,23.82373595505618,76.9311797752809,12.941830524344567,1.1217044918496777,0.1478873239436619,1.631205985915493,-0.34827578780375784
103533,SIXT SE,4,Upper-Mid,7.851335805146843,11.458533968350013,12.85087197651675,77.84760375116312,24.734619101827708,3.2842451500975245,1.2955293898785056,3.077364236058587,0.2719912995096294
132740,INFINEON TECHNOLOGIES AG,4,Upper-Mid,10.346031635182792,10.337417968523145,19.81277164827817,54.79772651287195,2.3269809428284853,1.9030314807617568,0.2668563795806957,1.663220860677159,0.2870969951901391
200759,BIOTEST AG,4,Upper-Mid,6.052998605299861,4.97456189937818,11.952630129440925,36.394932525475085,4.43404020930873,5.056214865708932,1.1982287544752213,2.7020915771622382,0.37201881382980895
207096,RHOEN-KLINIKUM AG,4,Upper-Mid,2.53969741677938,3.345165248122969,2.954903394858046,-3.916661809617467,3.5848156734157715,2.233180932338404,0.0887378176290386,1.4325472826464392,-0.06951198967793151
210340,DILLINGER HUTTENWERKE,4,Upper-Mid,6.1144775894864365,9.119466047446236,8.777417407335033,30.157628916952024,-2.1602116932266826,2.426546687744045,0.0396290305434368,1.7111672291205915,0.6106776189746222
218000,JENOPTIK AG,4,Upper-Mid,8.452944783618936,9.475840251911569,13.181906582528743,39.989800920785065,7.518011950309512,2.257210994682095,0.4830585513210467,1.8118733319657576,-0.017698382597963393
220301,MERCK KGAA,4,Upper-Mid,7.923672115888068,9.2838994383525,19.313669880884856,67.73492153526186,13.632066553223671,1.190897821852311,0.2339194971917625,1.7239569403583843,0.27865173207563754
222247,SOFTWARE GMBH,4,Upper-Mid,4.13440320453886,-0.3588146417242324,9.77463079182668,81.85508422975441,-1.098701135094548,3.4007087974938144,0.2921336050814798,1.6232439397257303,-0.8619096095947552
238442,CARL ZEISS MEDITEC AG,4,Upper-Mid,5.523105033596605,8.753796474207485,9.07059440198981,55.91824703902519,7.7683995223914115,2.131519684970158,0.2579995954345821,1.6619508183633516,-0.15327118506866808
281772,SYMRISE AG,4,Upper-Mid,8.517548002884906,12.012117010534563,14.185438749484096,45.20224314711195,13.353791417567583,1.6134851163824715,0.4141274697451509,2.091015226641348,-0.09070944735327927
317079,SCOUT24 SE,4,Upper-Mid,12.293744779837615,11.31745623931815,43.27239562634384,75.7247816738508,43.500996946321145,0.4542740768734515,0.0291789077423174,1.4469321444130427,0.8312858632112388
326410,1&1 AG,4,Upper-Mid,7.265469818044684,3.491385746894061,14.53373731070942,36.96912151651939,0.503462628073934,2.5241624187605054,0.0644474784089846,1.3341176605726643,-0.8882759190176523
358679,SCHOTT PHARMA AG & CO KGAA,4,Upper-Mid,13.093188579938971,18.937735796540007,19.73051674292204,40.49646271880103,8.384887121496284,1.351614310645724,0.1023195674121907,1.8247191949453827,-0.591496557288598
